,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,REE,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VNM,VPB,VRE,Gold
2018-01-01,6.81,22.06,14.73,56.58,11.43,15.65,54.34,9.42,7.57,9.04,5.75,64.81,30.42,54.99,14.05,20.0,92.11,3.0,9.97,8.92,13.4,16.12,7.19,23.26,64.42,2.95,28.73,101.3,8.72,37.53,29405859.70703125
2018-01-02,6.81,22.06,14.73,56.58,11.43,15.65,54.34,9.42,7.57,9.04,5.75,64.81,30.42,54.99,14.05,20.0,92.11,3.0,9.97,8.92,13.4,16.12,7.19,23.26,64.42,2.95,28.73,101.3,8.72,37.53,29405859.70703125
2018-01-03,6.79,22.06,14.62,55.59,11.36,15.65,55.54,9.42,7.57,9.02,5.69,66.84,31.02,55.14,14.05,19.95,96.75,3.0,9.97,9.26,13.35,16.12,7.19,23.22,64.42,2.96,29.57,102.44,8.73,37.57,29453922.50732422
2018-01-04,6.81,22.06,15.03,56.17,11.77,15.96,58.16,9.42,7.57,9.13,5.7,66.84,31.09,57.63,14.05,20.0,97.66,3.0,9.97,9.23,13.6,16.12,7.19,23.43,64.42,2.99,29.76,102.88,9.04,37.41,29508381.546020508
2018-01-05,6.81,22.06,14.95,54.92,11.5,15.7,57.25,9.42,7.57,9.1,5.66,68.62,30.74,57.92,14.05,19.68,96.49,2.94,9.97,8.86,13.6,16.12,7.19,22.84,64.42,3.1,29.39,102.25,8.94,37.25,29599806.794677734
2018-01-08,7.04,22.06,15.19,55.92,11.77,15.94,57.25,9.42,7.58,9.38,5.94,71.94,30.26,61.59,14.05,19.82,95.29,3.06,9.97,9.04,14.55,16.12,7.19,23.43,64.42,3.27,29.5,100.58,9.36,36.77,29549825.45288086
2018-01-09,7.07,22.06,14.95,59.15,11.77,16.25,58.16,9.42,7.59,10.03,5.99,72.91,30.31,60.93,14.05,20.14,95.29,3.22,9.97,9.14,14.85,16.12,7.19,24.74,64.42,3.27,29.61,99.14,9.65,37.25,29326987.50830078
2018-01-10,6.98,22.06,14.97,58.41,11.68,16.09,58.73,9.42,7.7,9.8,6.01,70.48,30.58,62.32,14.05,20.28,94.74,3.22,9.97,9.3,15.6,16.12,7.19,24.53,64.42,3.3,29.68,101.06,9.67,39.47,29617787.348876953
2018-01-11,7.02,22.06,15.06,58.49,11.75,16.09,58.85,9.42,8.12,9.8,6.09,72.91,30.4,64.67,14.05,20.14,95.29,3.51,9.97,9.29,16.25,16.12,7.19,24.87,64.42,3.45,29.76,100.58,9.82,41.13,29319960.657958984
2018-01-12,6.86,22.06,14.86,57.41,11.72,15.75,57.31,9.42,8.68,9.87,5.95,75.34,30.01,63.57,14.05,19.68,95.18,3.35,9.97,9.6,15.5,16.12,7.19,24.53,64.42,3.67,31.37,100.53,9.49,43.59,29649482.942871094
